i,timestamp,symbol,side,model,R,risk_usd,pnl,equity
120,2026-01-05T22:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,135.85398487528005,-135.85398487528005,13449.544502652725
121,2026-01-05T22:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,134.49544502652725,-134.49544502652725,13315.049057626198
122,2026-01-05T22:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,133.15049057626197,-133.15049057626197,13181.898567049937
123,2026-01-05T22:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,131.81898567049936,-131.81898567049936,13050.079581379438
124,2026-01-05T23:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,130.50079581379438,261.00159162758877,13311.081173007025
125,2026-01-05T23:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,133.11081173007025,-133.11081173007025,13177.970361276955
126,2026-01-06T00:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,131.77970361276957,263.55940722553913,13441.529768502494
127,2026-01-06T00:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,134.41529768502494,268.8305953700499,13710.360363872544
128,2026-01-06T01:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,137.10360363872545,274.2072072774509,13984.567571149995
129,2026-01-06T01:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,139.84567571149995,-139.84567571149995,13844.721895438495
130,2026-01-06T02:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,138.44721895438497,276.89443790876993,14121.616333347265
131,2026-01-06T02:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,141.21616333347265,282.4323266669453,14404.04866001421
132,2026-01-06T03:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,144.04048660014212,288.08097320028423,14692.129633214494
133,2026-01-06T03:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,146.92129633214495,293.8425926642899,14985.972225878784
134,2026-01-06T04:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,149.85972225878785,299.7194445175757,15285.69167039636
135,2026-01-06T04:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,152.8569167039636,305.7138334079272,15591.405503804286
136,2026-01-06T14:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,155.91405503804287,311.82811007608575,15903.233613880371
137,2026-01-06T14:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,159.03233613880371,318.06467227760743,16221.298286157979
138,2026-01-06T15:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,162.21298286157977,324.42596572315955,16545.724251881136
139,2026-01-12T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,165.45724251881137,-165.45724251881137,16380.267009362326
140,2026-01-12T02:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,163.80267009362325,-163.80267009362325,16216.464339268703
141,2026-01-12T02:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,162.16464339268703,-162.16464339268703,16054.299695876016
142,2026-01-12T02:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,160.54299695876017,-160.54299695876017,15893.756698917256
143,2026-01-12T03:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,158.93756698917255,317.8751339783451,16211.6318328956
144,2026-01-12T03:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,162.116318328956,324.232636657912,16535.86446955351
145,2026-01-12T04:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,165.3586446955351,330.7172893910702,16866.581758944583
146,2026-01-12T04:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,168.66581758944582,337.33163517889164,17203.913394123476
147,2026-01-12T04:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,172.03913394123475,344.0782678824695,17547.991662005945
148,2026-01-12T05:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,175.47991662005944,350.9598332401189,17898.951495246063
149,2026-01-12T05:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,178.98951495246064,357.9790299049213,18256.930525150983
150,2026-01-12T05:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,182.56930525150983,365.13861050301966,18622.069135654005
151,2026-01-12T05:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,186.22069135654004,372.4413827130801,18994.510518367086
152,2026-01-12T06:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,189.94510518367085,379.8902103673417,19374.40072873443
153,2026-01-13T09:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,193.7440072873443,387.4880145746886,19761.88874330912
154,2026-01-13T09:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,197.6188874330912,-197.6188874330912,19564.269855876028
155,2026-01-13T10:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,195.6426985587603,-195.6426985587603,19368.627157317267
156,2026-01-13T11:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,193.6862715731727,-193.6862715731727,19174.940885744094
157,2026-01-13T14:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,191.74940885744095,-191.74940885744095,18983.19147688665
158,2026-01-13T15:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,189.8319147688665,-189.8319147688665,18793.359562117785
159,2026-01-13T15:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,187.93359562117786,375.8671912423557,19169.22675336014
160,2026-01-13T16:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,191.6922675336014,-191.6922675336014,18977.534485826538
161,2026-01-13T16:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,189.77534485826538,-189.77534485826538,18787.759140968272
162,2026-01-13T17:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,187.8775914096827,-187.8775914096827,18599.881549558588
163,2026-01-13T17:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,185.9988154955859,-185.9988154955859,18413.882734063
164,2026-01-13T18:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,184.13882734063003,-184.13882734063003,18229.74390672237
165,2026-01-13T18:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,182.2974390672237,-182.2974390672237,18047.446467655147
166,2026-01-13T19:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,180.47446467655146,360.9489293531029,18408.39539700825
167,2026-01-13T19:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,184.08395397008252,368.16790794016504,18776.563304948417
168,2026-01-13T20:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,187.76563304948417,-187.76563304948417,18588.797671898934
169,2026-01-13T20:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,185.88797671898934,-185.88797671898934,18402.909695179944
170,2026-01-13T21:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,184.02909695179943,-184.02909695179943,18218.880598228145
171,2026-01-13T21:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,182.18880598228145,-182.18880598228145,18036.691792245863
172,2026-01-13T22:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,180.36691792245864,-180.36691792245864,17856.324874323403
173,2026-01-13T22:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,178.56324874323403,-178.56324874323403,17677.76162558017
174,2026-01-13T23:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,176.7776162558017,-176.7776162558017,17500.98400932437
175,2026-01-13T23:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,175.0098400932437,-175.0098400932437,17325.974169231125
176,2026-01-13T23:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,173.25974169231125,-173.25974169231125,17152.714427538813
177,2026-01-13T23:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,171.52714427538814,-171.52714427538814,16981.187283263425
178,2026-01-14T00:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,169.81187283263426,-169.81187283263426,16811.37541043079
179,2026-01-14T00:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,168.11375410430793,-168.11375410430793,16643.261656326486
180,2026-01-14T00:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,166.43261656326487,-166.43261656326487,16476.82903976322
181,2026-01-14T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,164.7682903976322,-164.7682903976322,16312.060749365586
182,2026-01-14T01:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,163.12060749365585,-163.12060749365585,16148.94014187193
