i,is_trade,timestamp,symbol,side,model,R,risk_usd,pnl,equity
95,1,2026-01-05T14:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,25.80949987585737,51.61899975171474,10375.418950094661
96,1,2026-01-05T15:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,25.938547375236652,-25.938547375236652,10349.480402719424
97,1,2026-01-05T15:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,25.873701006798562,51.747402013597124,10401.227804733022
98,1,2026-01-05T16:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.003069511832557,-26.003069511832557,10375.224735221189
99,1,2026-01-05T16:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,25.938061838052974,-25.938061838052974,10349.286673383136
100,1,2026-01-05T16:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,25.87321668345784,-25.87321668345784,10323.413456699678
101,1,2026-01-05T16:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.808533641749197,51.61706728349839,10375.030523983176
102,1,2026-01-05T17:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.93757630995794,-25.93757630995794,10349.092947673218
103,1,2026-01-05T17:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,25.872732369183044,51.74546473836609,10400.838412411584
104,1,2026-01-05T17:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.00209603102896,52.00419206205792,10452.842604473642
105,1,2026-01-05T18:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.132106511184105,-26.132106511184105,10426.710497962458
106,1,2026-01-05T18:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.066776244906148,52.133552489812296,10478.844050452271
107,1,2026-01-05T18:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.197110126130678,52.394220252261356,10531.238270704533
108,1,2026-01-05T18:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,26.328095676761333,52.656191353522665,10583.894462058055
109,1,2026-01-05T19:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.459736155145137,-26.459736155145137,10557.43472590291
110,1,2026-01-05T19:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.393586814757274,-26.393586814757274,10531.041139088153
111,1,2026-01-05T19:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.32760284772038,-26.32760284772038,10504.713536240431
112,1,2026-01-05T19:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.26178384060108,-26.26178384060108,10478.451752399831
113,1,2026-01-05T20:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,26.19612938099958,52.39225876199916,10530.844011161831
114,1,2026-01-05T20:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,26.327110027904578,52.654220055809155,10583.49823121764
115,1,2026-01-05T20:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,26.458745578044102,52.917491156088204,10636.415722373727
116,1,2026-01-05T20:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.59103930593432,53.18207861186864,10689.597800985595
117,1,2026-01-05T20:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,26.723994502463988,53.447989004927976,10743.045789990523
118,1,2026-01-05T20:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.85761447497631,-26.85761447497631,10716.188175515546
119,1,2026-01-05T20:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.790470438788866,-26.790470438788866,10689.397705076757
120,1,2026-01-05T21:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.723494262691894,-26.723494262691894,10662.674210814066
121,1,2026-01-05T21:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.656685527035165,-26.656685527035165,10636.01752528703
122,1,2026-01-05T21:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.590043813217576,-26.590043813217576,10609.427481473813
123,1,2026-01-05T22:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.523568703684532,-26.523568703684532,10582.903912770129
124,1,2026-01-05T22:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.457259781925323,-26.457259781925323,10556.446652988203
125,1,2026-01-05T22:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,26.391116632470506,-26.391116632470506,10530.055536355732
126,1,2026-01-05T22:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.32513884088933,-26.32513884088933,10503.730397514842
127,1,2026-01-05T22:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.259325993787108,-26.259325993787108,10477.471071521055
128,1,2026-01-05T22:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,26.193677678802636,-26.193677678802636,10451.277393842252
129,1,2026-01-05T23:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.12819348460563,52.25638696921126,10503.533780811464
130,1,2026-01-05T23:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.25883445202866,-26.25883445202866,10477.274946359435
131,1,2026-01-06T00:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.193187365898588,52.386374731797176,10529.661321091233
132,1,2026-01-06T00:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.32415330272808,52.64830660545616,10582.30962769669
133,1,2026-01-06T01:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.455774069241727,52.911548138483454,10635.221175835173
134,1,2026-01-06T01:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.588052939587932,-26.588052939587932,10608.633122895586
135,1,2026-01-06T02:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.521582807238964,53.04316561447793,10661.676288510063
136,1,2026-01-06T02:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.65419072127516,53.30838144255032,10714.984669952613
137,1,2026-01-06T03:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.787461674881534,53.57492334976307,10768.559593302376
138,1,2026-01-06T03:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.92139898325594,53.84279796651188,10822.402391268888
139,1,2026-01-06T04:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,27.05600597817222,54.11201195634444,10876.514403225232
140,1,2026-01-06T04:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,27.19128600806308,54.38257201612616,10930.896975241358
141,1,2026-01-06T14:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,27.327242438103394,54.65448487620679,10985.551460117564
142,1,2026-01-06T14:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,27.46387865029391,54.92775730058782,11040.479217418151
143,1,2026-01-06T14:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,27.601198043545377,55.202396087090754,11095.681613505241
144,1,2026-01-06T14:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,27.739204033763105,55.47840806752621,11151.160021572767
145,1,2026-01-06T15:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,27.877900053931917,55.755800107863834,11206.91582168063
146,1,2026-01-06T15:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,28.017289554201575,56.03457910840315,11262.950400789034
147,1,2026-01-06T15:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,28.157376001972583,56.314752003945166,11319.26515279298
148,1,2026-01-09T03:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,28.29816288198245,56.5963257639649,11375.861478556944
149,1,2026-01-09T04:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,28.439653696392362,56.879307392784725,11432.740785949729
150,1,2026-01-09T04:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,28.58185196487432,57.16370392974864,11489.904489879478
151,1,2026-01-09T05:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,28.724761224698696,57.44952244939739,11547.354012328875
152,1,2026-01-09T05:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,28.86838503082219,57.73677006164438,11605.09078239052
153,1,2026-01-09T06:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,29.0127269559763,58.0254539119526,11663.116236302472
154,1,2026-01-09T06:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,29.157790590756182,58.315581181512364,11721.431817483985
155,1,2026-01-11T16:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,29.30357954370996,58.60715908741992,11780.038976571404
156,1,2026-01-12T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,29.45009744142851,-29.45009744142851,11750.588879129977
157,1,2026-01-12T02:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,29.376472197824942,-29.376472197824942,11721.212406932153
158,1,2026-01-12T02:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,29.303031017330383,-29.303031017330383,11691.909375914822
159,1,2026-01-12T02:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,29.229773439787056,-29.229773439787056,11662.679602475035
160,1,2026-01-12T02:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,29.156699006187587,-29.156699006187587,11633.522903468847
161,1,2026-01-12T02:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,29.08380725867212,-29.08380725867212,11604.439096210175
162,1,2026-01-12T03:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,29.01109774052544,58.02219548105088,11662.461291691227
163,1,2026-01-12T03:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,29.156153229228067,58.312306458456135,11720.773598149683
164,1,2026-01-12T03:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,29.301933995374206,58.60386799074841,11779.377466140431
165,1,2026-01-12T04:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,29.44844366535108,58.89688733070216,11838.274353471134
166,1,2026-01-12T04:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,29.595685883677834,59.19137176735567,11897.46572523849
